Player_id,Position_Code
204525,CB
243631,CM
243631,CAM
212194,CAM
212194,CM
216354,CAM
216354,CM
241486,RB
241486,CB
241486,RM
226807,CDM
226807,RM
226807,CM
226807,RW
244728,CAM
244728,CM
253177,CM
253177,CDM
253177,RM
253177,CAM
230020,CDM
230020,CM
247028,CM
247028,CAM
229167,RM
229167,LM
229167,RW
213296,CDM
213296,CM
233084,RB
233084,RM
208787,CM
208787,CAM
213655,LM
213655,RM
213655,LW
212404,RM
212404,ST
212404,RW
215798,LM
215798,ST
215798,LW
210935,RW
210935,RM
231943,ST
231943,LW
231943,LM
205070,RM
205070,LM
205070,RW
232730,CM
232730,CAM
205201,CDM
205201,CM
205201,CB
205988,CB
205988,LB
205988,LM
258746,LM
258746,LB
273906,CB
273906,CDM
256516,LM
256516,RM
256516,LW
244788,CM
244788,CDM
244788,CAM
268896,CM
268896,CDM
209780,CM
209780,CAM
209780,CDM
224885,LB
224885,LM
206517,LW
206517,LM
238794,LW
238794,ST
238794,LM
260813,CM
260813,CDM
260813,LM
260813,CAM
237034,ST
237034,CAM
248165,RB
248165,RM
233064,CAM
233064,CM
233064,RW
257711,LB
257711,CB
235790,ST
235790,CM
235790,CAM
235813,CM
235813,CDM
252794,CDM
252794,CM
235456,CAM
235456,CM
221125,ST
221125,CAM
221125,CM
224031,RB
224031,LB
224031,RM
228179,LM
228179,CM
228179,LW
223874,CDM
223874,CM
234906,CAM
234906,CM
211147,RM
211147,LM
211147,LB
211147,RB
200145,CDM
200145,CM
248793,CDM
248793,CM
279604,CM
279604,CDM
250959,CDM
250959,CM
216464,CM
216464,CAM
245054,CAM
245054,ST
245054,CM
221000,CDM
221000,CM
233301,RB
233301,RM
233301,CB
257980,LM
257980,RM
257980,LW
228302,LB
228302,LM
229348,LB
229348,LM
189596,CAM
189596,ST
189596,RM
252064,CB
252064,CDM
230065,CM
230065,CDM
188350,CAM
188350,ST
188350,CM
219174,CM
219174,LM
219174,RM
219174,LW
220746,RM
220746,RW
220746,LW
228579,RB
228579,RM
228579,LB
212491,LB
212491,LM
263439,CM
205855,ST
205855,CAM
193061,CM
193061,CAM
244778,CAM
244778,RM
244778,RW
244778,ST
258171,CM
258171,CAM
238072,CM
238072,CDM
238072,CAM
238072,CB
220414,LB
220414,LM
212269,CB
212269,CDM
238463,CM
238463,CDM
252143,CM
252143,CDM
252143,CAM
214026,LB
214026,LM
262925,CDM
262925,CM
251690,CAM
251690,CM
246646,CM
246646,CDM
200094,CM
200094,CDM
224425,RB
224425,RM
235467,CAM
235467,LM
235467,ST
235467,CM
260823,CM
260823,CDM
260823,CB
209888,LM
209888,RM
209888,LW
221671,CAM
221671,CM
239380,LW
239380,LM
241707,CM
241707,CDM
239778,CM
239778,CAM
239778,CDM
222148,CM
222148,CDM
236764,CDM
236764,CM
230666,ST
230666,CAM
231184,ST
237329,CM
237329,CAM
275298,CDM
275298,CM
227528,ST
273463,CDM
273463,CM
259480,CAM
259480,CM
224423,LB
224423,LM
224423,LW
225782,RB
225782,RM
225782,RW
237819,CDM
237819,CM
210736,LB
210736,LM
203980,CAM
203980,ST
203980,RW
203980,CM
251942,RB
251942,RM
244270,CDM
244270,CM
226370,CM
226370,CAM
219985,CM
219985,CDM
270964,CM
270964,CDM
270964,CAM
245371,CAM
245371,CM
266374,LM
266374,LB
266374,LW
237712,ST
225951,LW
225951,ST
225951,LM
229862,CAM
229862,CM
229862,CDM
208364,CB
208364,RB
201455,CB
201455,CDM
201455,CM
241461,LW
241461,RW
241461,ST
241461,LM
250941,LB
250941,LM
212045,LB
212045,CB
212045,LM
257876,CDM
257876,CM
257876,CB
234112,RB
234112,RM
206467,ST
206467,CAM
206467,LW
255878,RB
255878,RM
228520,RM
228520,ST
228520,RW
259789,LM
259789,CM
259789,LW
229391,CDM
229391,CM
235805,RM
235805,LM
235805,ST
235805,RW
232223,LB
232223,LM
193348,CAM
193348,RW
193348,CM
230234,CDM
230234,CM
256107,RB
256107,RM
207494,CAM
207494,ST
207494,CM
243606,LB
243606,LM
205678,RM
205678,LM
205678,RW
242380,CDM
242380,CM
242380,CB
239361,CAM
239361,CM
240753,ST
240753,CAM
258714,LB
258714,LM
73374,ST
73374,CAM
73374,CM
225953,LM
225953,LW
205531,CM
205531,CAM
268534,CM
268534,CDM
268534,CAM
206113,LM
206113,RM
206113,ST
206113,CAM
230437,CDM
230437,CM
204688,CM
204688,CDM
229788,CM
229788,CDM
248053,LB
248053,LM
192505,ST
229891,RB
229891,LB
229891,RM
241721,LW
241721,LM
231227,CDM
231227,CM
231227,CB
152908,RB
152908,LB
152908,RM
209236,CDM
209236,CM
227174,RB
227174,RM
229984,LB
229984,LM
243812,RW
243812,ST
243812,RM
263781,RB
199792,CAM
199792,CM
263041,LB
263041,LM
263041,CM
263041,LW
226491,LB
226491,LM
251615,LB
251615,LM
261616,LB
261616,LM
190815,CB
190815,LB
262525,CM
262525,CAM
191627,CM
191627,CDM
239028,LM
239028,LW
239028,RM
253109,CM
253109,CDM
253109,CAM
230899,ST
230899,CAM
240130,CB
214040,LB
214040,LM
226376,CAM
226376,RM
226376,CM
233061,LW
233061,LM
233061,ST
244874,CM
244874,CDM
244874,CAM
199564,CDM
199564,CM
205452,CB
221363,CAM
221363,CM
209620,LB
209620,LM
253396,RM
253396,ST
253396,LM
253396,RW
247030,CM
247030,CDM
198657,RB
253473,CDM
253473,CM
243282,LM
243282,CAM
243282,RM
243282,LW
219789,RB
219789,RM
246928,CM
246928,CDM
246928,CAM
215998,CM
215998,CAM
215998,RM
254159,LM
254159,LB
254159,LW
253908,CM
253908,ST
239613,CM
239613,CAM
239613,CDM
272926,CM
272926,CDM
272926,CAM
204105,RB
204105,RM
244622,ST
244622,LM
244622,CAM
235926,CM
235926,CAM
235926,RM
205726,CM
205726,CDM
226517,CM
226517,CAM
216036,LB
216036,CB
212476,CM
212476,CDM
212476,CAM
208670,RM
208670,CAM
208670,RW
237383,CB
186190,LB
252802,CB
252802,RB
232839,LB
232839,CB
232839,LM
274915,LB
274915,LM
253162,CDM
253162,CM
190972,RM
190972,LM
190972,RW
238235,CDM
238235,RW
238235,RM
211378,CM
211378,CDM
262842,CAM
262842,CM
231390,LM
231390,CM
231390,CAM
231390,LW
226790,CDM
226790,CM
226790,CAM
237043,RM
237043,LM
237043,RW
238067,RM
238067,RW
238067,ST
210697,CDM
210697,CM
262411,CM
262411,CDM
193301,ST
244287,RB
244287,RM
212096,LM
212096,CAM
212096,LW
216475,ST
216475,LM
216475,LW
225439,CM
225439,CDM
259240,CDM
259240,CM
235997,CM
235997,CDM
216385,CDM
216385,CB
216385,CM
184941,ST
184941,CAM
258683,CM
258683,CDM
258683,CAM
243580,ST
237239,CAM
237239,CM
237239,LM
244205,ST
244205,LW
244205,RW
244205,CAM
232440,LB
232440,LM
246885,CM
246885,CDM
246885,RB
246147,RM
246147,CAM
246147,RW
258976,LB
258976,RB
258976,LM
204970,ST
204970,RW
204970,CAM
256948,LM
256948,LW
255925,LM
255925,RW
255925,RM
255925,LW
209846,LB
209846,LM
277439,CDM
277439,CM
277439,CB
251852,RM
251852,LW
251852,CAM
251852,RW
242664,RM
242664,LM
242664,RW
193283,CDM
212501,CM
212501,CDM
212501,CB
224030,CM
224030,CDM
232999,CDM
232999,CM
205633,CAM
205633,CM
270670,CAM
270670,LW
270670,CDM
270670,CM
230250,CDM
230250,CM
260466,CDM
260466,CM
244399,CM
244399,CDM
244399,CAM
221908,ST
221908,LM
221908,CAM
208920,CB
208920,LB
208920,LM
235374,RB
235374,RM
255928,CDM
255928,CM
205566,LB
230241,LB
230241,RB
230241,CB
230241,LM
266097,RM
266097,LM
266097,CAM
266097,RW
259716,LB
259716,CM
259716,LM
244634,CM
244634,CDM
244634,CAM
207790,RB
207790,CB
207790,CDM
215270,CAM
215270,ST
215270,LM
172522,CM
172522,CDM
229723,CM
229723,CDM
241856,CM
241856,CDM
263617,CDM
263617,CM
263617,CB
213242,CDM
213242,CM
213242,CB
244889,CDM
244889,CM
230384,CAM
230384,ST
230384,CM
271121,LB
271121,LM
232498,CAM
232498,RM
232498,ST
232498,CM
198451,CAM
198451,LM
198451,RM
198451,CM
204612,CM
204612,CDM
254789,CAM
254789,CM
257866,RM
257866,CAM
257866,ST
257866,RW
254796,RW
254796,RM
203864,CM
203864,CDM
208480,CM
208480,CDM
203362,RM
203362,LM
203362,CAM
203362,RW
228708,CB
233585,CAM
233585,LM
233585,LB
233585,CM
277179,CAM
277179,CM
277179,LW
277179,ST
216547,CAM
216547,ST
216547,LM
226537,ST
226537,CAM
226537,CM
190199,CM
190199,CDM
275976,CM
275976,CDM
260876,CM
260876,CDM
260876,CAM
277283,CDM
277283,RB
277283,LB
277283,RM
230184,LB
230184,LM
211256,LB
211256,LM
239977,RW
239977,RM
243586,ST
173030,CAM
173030,ST
173030,CM
228595,CM
228595,CDM
226045,LB
226045,LM
226045,LW
246297,CAM
246297,CM
230431,CDM
230431,CM
244257,ST
245058,CAM
245058,CM
236629,LB
236629,LM
202078,CM
202078,CDM
242534,CDM
242534,CM
253306,CDM
253306,CM
192451,CM
192451,CAM
192451,LW
234457,CDM
234457,CM
230417,CDM
230417,CM
258371,LB
258371,LM
241236,RM
241236,LM
241236,RW
253287,CDM
253287,CM
237681,RM
